benchmark,run,result
quadratic,baseline,785
quadratic,myopt,398
montgomery,baseline,17
montgomery,myopt,17
birthday,baseline,484
birthday,myopt,369
mod_pow,baseline,243
mod_pow,myopt,221
orders,baseline,5352
orders,myopt,5351
sum-check,baseline,5018
sum-check,myopt,5011
palindrome,baseline,298
palindrome,myopt,298
totient,baseline,253
totient,myopt,253
fib_recursive,baseline,2693
fib_recursive,myopt,2341
relative-primes,baseline,1923
relative-primes,myopt,1692
hanoi,baseline,99
hanoi,myopt,84
is-decreasing,baseline,127
is-decreasing,myopt,118
check-primes,baseline,8468
check-primes,myopt,6925
fitsinside,baseline,10
fitsinside,myopt,10
fact,baseline,229
fact,myopt,228
loopfact,baseline,116
loopfact,myopt,115
recfact,baseline,104
recfact,myopt,87
geometric-sum,baseline,35
geometric-sum,myopt,35
factors,baseline,72
factors,myopt,72
bitshift,baseline,167
bitshift,myopt,147
up-arrow,baseline,252
up-arrow,myopt,252
mccarthy91,baseline,1385
mccarthy91,myopt,1385
sum-divisors,baseline,159
sum-divisors,myopt,159
permutation,baseline,130
permutation,myopt,127
euclid,baseline,563
euclid,myopt,474
bbs,baseline,137
bbs,myopt,137
lcm,baseline,2326
lcm,myopt,2326
gcd,baseline,46
gcd,myopt,46
armstrong,baseline,133
armstrong,myopt,130
pascals-row,baseline,146
pascals-row,myopt,96
sum-bits,baseline,73
sum-bits,myopt,72
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
mod_inv,baseline,558
mod_inv,myopt,554
karatsuba,baseline,1548
karatsuba,myopt,1548
fizz-buzz,baseline,3652
fizz-buzz,myopt,2658
bitwise-ops,baseline,1690
bitwise-ops,myopt,1689
sum-digits,baseline,219
sum-digits,myopt,158
